BATCH,DATE,ACCOUNT,ACCOUNT DESCRIPTION,DR,CR
12,2021-10-23,502,Rent Expense,2966.59,0
12,2021-10-23,503,Salary Expense,6328.82,0
12,2021-10-23,101,Cash,0,9295.41
12,Description:,Regular expenses,,,,
13,2021-10-27,201,Accounts Payable,1012.95,0
13,2021-10-27,101,Cash,0,1012.95
13,Description:,Paid off a creditor,,,,
14,2021-11-02,103,Inventory,774.0,0
14,2021-11-02,201,Accounts Payable,0,774.0
14,Description:,Added to inventory,,,,
15,2021-11-04,401,Sales Revenue,0,4859.68
15,2021-11-04,501,Cost of Goods Sold,4130.728,0
15,2021-11-04,103,Inventory,0,4130.728
15,2021-11-04,102,Accounts Receivable,4859.68,0
15,Description:,Items sold,,,,
16,2021-11-13,101,Cash,5069.09,0
16,2021-11-13,202,Loan Payable,0,5069.09
16,Description:,Bank interactions,,,,
17,2021-11-19,101,Cash,6821.44,0
17,2021-11-19,202,Loan Payable,0,6821.44
17,Description:,Loan account adjustments,,,,
18,2021-11-21,401,Sales Revenue,0,1032.25
18,2021-11-21,501,Cost of Goods Sold,877.4125,0
18,2021-11-21,103,Inventory,0,877.4125
18,2021-11-21,101,Cash,1032.25,0
18,Description:,Sales completed,,,,
19,2021-11-25,401,Sales Revenue,0,1478.88
19,2021-11-25,501,Cost of Goods Sold,1257.048,0
19,2021-11-25,103,Inventory,0,1257.048
19,2021-11-25,101,Cash,1478.88,0
19,Description:,Goods exchanged for money,,,,
20,2021-11-27,103,Inventory,1159.44,0
20,2021-11-27,201,Accounts Payable,0,1159.44
20,Description:,Restocking products,,,,
21,2021-12-05,201,Accounts Payable,1900.71,0
21,2021-12-05,101,Cash,0,1900.71
21,Description:,Debt payment,,,,
22,2021-12-10,101,Cash,8952.27,0
22,2021-12-10,202,Loan Payable,0,8952.27
22,Description:,Bank interactions,,,,
23,2021-12-17,401,Sales Revenue,0,5562.25
23,2021-12-17,501,Cost of Goods Sold,4727.912499999999,0
23,2021-12-17,103,Inventory,0,4727.912499999999
23,2021-12-17,101,Cash,5562.25,0
23,Description:,Items sold,,,,
24,2021-12-23,401,Sales Revenue,0,2731.79
24,2021-12-23,501,Cost of Goods Sold,2322.0215,0
24,2021-12-23,103,Inventory,0,2322.0215
24,2021-12-23,101,Cash,2731.79,0
24,Description:,Goods exchanged for money,,,,
25,2022-01-01,101,Cash,0,6624.82
25,2022-01-01,202,Loan Payable,6624.82,0
25,Description:,Loan activity,,,,
26,2022-01-09,201,Accounts Payable,1356.85,0
26,2022-01-09,101,Cash,0,1356.85
26,Description:,Reduced payable amount,,,,
27,2022-01-12,401,Sales Revenue,0,2383.56
27,2022-01-12,501,Cost of Goods Sold,2026.0259999999998,0
27,2022-01-12,103,Inventory,0,2026.0259999999998
27,2022-01-12,102,Accounts Receivable,2383.56,0
27,Description:,Items sold,,,,
28,2022-01-21,103,Inventory,1669.71,0
28,2022-01-21,201,Accounts Payable,0,1669.71
28,Description:,Added to inventory,,,,
29,2022-01-22,201,Accounts Payable,1303.85,0
29,2022-01-22,101,Cash,0,1303.85
29,Description:,Debt payment,,,,
30,2022-01-24,502,Rent Expense,2760.68,0
30,2022-01-24,503,Salary Expense,5539.23,0
30,2022-01-24,101,Cash,0,8299.91
30,Description:,Monthly bills paid,,,,
31,2022-02-01,101,Cash,0,7245.86
31,2022-02-01,202,Loan Payable,7245.86,0
31,Description:,Bank interactions,,,,
32,2022-02-06,101,Cash,6325.65,0
32,2022-02-06,202,Loan Payable,0,6325.65
32,Description:,Loan activity,,,,
33,2022-02-10,401,Sales Revenue,0,5573.36
33,2022-02-10,501,Cost of Goods Sold,4737.356,0
33,2022-02-10,103,Inventory,0,4737.356
33,2022-02-10,101,Cash,5573.36,0
33,Description:,Items sold,,,,
34,2022-02-12,401,Sales Revenue,0,5259.92
34,2022-02-12,501,Cost of Goods Sold,4470.932,0
34,2022-02-12,103,Inventory,0,4470.932
34,2022-02-12,102,Accounts Receivable,5259.92,0
34,Description:,Items sold,,,,
35,2022-02-17,401,Sales Revenue,0,5467.44
35,2022-02-17,501,Cost of Goods Sold,4647.324,0
35,2022-02-17,103,Inventory,0,4647.324
35,2022-02-17,102,Accounts Receivable,5467.44,0
35,Description:,Sales completed,,,,
36,2022-02-19,502,Rent Expense,1736.81,0
36,2022-02-19,503,Salary Expense,6459.91,0
36,2022-02-19,101,Cash,0,8196.72
36,Description:,Monthly bills paid,,,,
37,2022-02-23,103,Inventory,1142.8,0
37,2022-02-23,201,Accounts Payable,0,1142.8
37,Description:,Added to inventory,,,,
38,2022-02-27,101,Cash,5069.28,0
38,2022-02-27,202,Loan Payable,0,5069.28
38,Description:,Loan activity,,,,
39,2022-03-08,502,Rent Expense,1784.27,0
39,2022-03-08,503,Salary Expense,6465.93,0
39,2022-03-08,101,Cash,0,8250.2
39,Description:,Regular expenses,,,,
40,2022-03-10,401,Sales Revenue,0,3723.31
40,2022-03-10,501,Cost of Goods Sold,3164.8134999999997,0
40,2022-03-10,103,Inventory,0,3164.8134999999997
40,2022-03-10,102,Accounts Receivable,3723.31,0
40,Description:,Goods exchanged for money,,,,
41,2022-03-19,401,Sales Revenue,0,5879.73
41,2022-03-19,501,Cost of Goods Sold,4997.7705,0
41,2022-03-19,103,Inventory,0,4997.7705
41,2022-03-19,102,Accounts Receivable,5879.73,0
41,Description:,Items sold,,,,
42,2022-03-21,201,Accounts Payable,810.99,0
42,2022-03-21,101,Cash,0,810.99
42,Description:,Reduced payable amount,,,,
43,2022-03-28,103,Inventory,4000.16,0
43,2022-03-28,201,Accounts Payable,0,4000.16
43,Description:,Goods purchased,,,,
44,2022-04-07,502,Rent Expense,2176.16,0
44,2022-04-07,503,Salary Expense,6126.79,0
44,2022-04-07,101,Cash,0,8302.95
44,Description:,Regular expenses,,,,
45,2022-04-15,101,Cash,6858.76,0
45,2022-04-15,202,Loan Payable,0,6858.76
45,Description:,Loan activity,,,,
46,2022-04-22,201,Accounts Payable,1487.04,0
46,2022-04-22,101,Cash,0,1487.04
46,Description:,Debt payment,,,,
47,2022-04-28,101,Cash,6595.06,0
47,2022-04-28,202,Loan Payable,0,6595.06
47,Description:,Bank interactions,,,,
48,2022-05-03,101,Cash,7851.3,0
48,2022-05-03,202,Loan Payable,0,7851.3
48,Description:,Bank interactions,,,,
49,2022-05-05,201,Accounts Payable,761.17,0
49,2022-05-05,101,Cash,0,761.17
49,Description:,Debt payment,,,,
50,2022-05-10,201,Accounts Payable,644.68,0
50,2022-05-10,101,Cash,0,644.68
50,Description:,Paid off a creditor,,,,
