BATCH,DATE,ACCOUNT,ACCOUNT DESCRIPTION,DR,CR
26,Description:,Sales completed,,,,
27,2022-05-04,101,Cash,0,6325.65
27,2022-05-04,202,Loan Payable,6325.65,0
27,Description:,Loan activity,,,,
27,2022-05-08,301,Owner's Equity,7.275957614183426e-12,0
28,2022-05-08,103,Inventory,4863.17,0
28,2022-05-08,201,Accounts Payable,0,4863.17
28,Description:,Goods purchased,,,,
29,2022-05-09,103,Inventory,2286.25,0
29,2022-05-09,201,Accounts Payable,0,2286.25
29,Description:,Goods purchased,,,,
29,2022-05-14,301,Owner's Equity,0,7.275957614183426e-12
30,2022-05-14,401,Sales Revenue,0,4839.01
30,2022-05-14,501,Cost of Goods Sold,3145.3565000000003,0
30,2022-05-14,103,Inventory,0,3145.3565000000003
30,2022-05-14,102,Accounts Receivable,4839.01,0
30,Description:,Items sold,,,,
30,2022-05-24,301,Owner's Equity,0,1693.6535000000003
31,2022-05-24,201,Accounts Payable,1128.89,0
31,2022-05-24,101,Cash,0,1128.89
31,Description:,Debt payment,,,,
32,2022-05-26,401,Sales Revenue,0,5771.94
32,2022-05-26,501,Cost of Goods Sold,3751.761,0
32,2022-05-26,103,Inventory,0,3751.761
32,2022-05-26,101,Cash,5771.94,0
32,Description:,Items sold,,,,
32,2022-05-28,301,Owner's Equity,0,2020.1790000000037
33,2022-05-28,201,Accounts Payable,10882.1,0
33,2022-05-28,101,Cash,0,10882.1
33,Description:,Debt payment,ANOMALY,,,
34,2022-06-01,502,Rent Expense,1129.62,0
34,2022-06-01,503,Salary Expense,4410.4,0
34,2022-06-01,101,Cash,0,5540.0199999999995
34,Description:,Regular expenses,,,,
34,2022-06-06,301,Owner's Equity,5540.019999999997,0
35,2022-06-06,103,Inventory,2874.22,0
35,2022-06-06,201,Accounts Payable,0,2874.22
35,Description:,Restocking products,,,,
35,2022-06-15,301,Owner's Equity,7.275957614183426e-12,0
36,2022-06-15,103,Inventory,2839.96,0
36,2022-06-15,201,Accounts Payable,0,2839.96
36,Description:,Restocking products,,,,
37,2022-06-24,101,Cash,0,7072.93
37,2022-06-24,202,Loan Payable,7072.93,0
37,Description:,Loan activity,,,,
37,2022-06-30,301,Owner's Equity,0,1.4551915228366852e-11
38,2022-06-30,401,Sales Revenue,0,9127.24
38,2022-06-30,501,Cost of Goods Sold,5932.706,0
38,2022-06-30,103,Inventory,0,5932.706
38,2022-06-30,101,Cash,9127.24,0
38,Description:,Sales completed,,,,
38,2022-07-08,301,Owner's Equity,0,3194.5339999999924
39,Description:,Items sold,ANOMALY,,,
39,2022-07-15,301,Owner's Equity,7.275957614183426e-12,0
40,2022-07-15,502,Rent Expense,1467.43,0
40,2022-07-15,503,Salary Expense,2717.71,0
40,2022-07-15,101,Cash,0,4185.14
40,Description:,Operational costs deducted,,,,
40,2022-07-18,301,Owner's Equity,4185.139999999992,0
41,Description:,Items sold,,,,
41,2022-07-26,301,Owner's Equity,7.275957614183426e-12,0
42,Description:,Sales completed,,,,
42,2022-07-29,301,Owner's Equity,0,7.275957614183426e-12
43,Description:,Sales completed,,,,
43,2022-08-01,301,Owner's Equity,7.275957614183426e-12,0
44,2022-08-01,201,Accounts Payable,1459.79,0
44,2022-08-01,101,Cash,0,1459.79
44,Description:,Debt payment,,,,
45,2022-08-09,103,Inventory,4548.68,0
45,2022-08-09,201,Accounts Payable,0,4548.68
45,Description:,Goods purchased,,,,
45,2022-08-18,301,Owner's Equity,0,7.275957614183426e-12
46,2022-08-18,502,Rent Expense,1061.82,0
46,2022-08-18,503,Salary Expense,3368.04,0
46,2022-08-18,101,Cash,0,4429.86
46,Description:,Monthly bills paid,,,,
46,2022-08-24,301,Owner's Equity,4429.860000000008,0
47,2022-08-24,502,Rent Expense,1712.21,0
47,2022-08-24,503,Salary Expense,5771.61,0
47,2022-08-24,101,Cash,0,7483.82
47,Description:,Operational costs deducted,,,,
47,2022-08-26,301,Owner's Equity,7483.819999999992,0
48,2022-08-26,201,Accounts Payable,18654.0,0
48,2022-08-26,101,Cash,0,18654.0
48,Description:,Paid off a creditor,ANOMALY,,,
48,2022-08-30,301,Owner's Equity,3.637978807091713e-12,0
49,2022-08-30,103,Inventory,2595.01,0
49,2022-08-30,201,Accounts Payable,0,2595.01
49,Description:,Added to inventory,,,,
49,2022-09-03,301,Owner's Equity,0,7.275957614183426e-12
50,2022-09-03,502,Rent Expense,998.76,0
50,2022-09-03,503,Salary Expense,5213.57,0
50,2022-09-03,101,Cash,0,6212.33
50,Description:,Monthly bills paid,,,,
50,2022-09-08,301,Owner's Equity,6212.330000000002,0
51,2022-09-08,101,Cash,0,5028.0
51,2022-09-08,202,Loan Payable,5028.0,0
51,Description:,Loan account adjustments,,,,
52,2022-09-13,401,Sales Revenue,0,4984.48
52,2022-09-13,501,Cost of Goods Sold,3239.912,0
52,2022-09-13,103,Inventory,0,3239.912
52,2022-09-13,101,Cash,4984.48,0
52,Description:,Goods exchanged for money,,,,
52,2022-09-18,301,Owner's Equity,0,1744.5679999999993
53,Description:,Sales completed,,,,
54,Description:,Items sold,,,,
55,2022-09-23,101,Cash,0,6641.95
55,2022-09-23,202,Loan Payable,6641.95,0
55,Description:,Loan activity,,,,
55,2022-10-03,301,Owner's Equity,1.8189894035458565e-12,0
56,2022-10-03,401,Sales Revenue,0,3938.58
56,2022-10-03,501,Cost of Goods Sold,2560.077,0
56,2022-10-03,103,Inventory,0,2560.077
56,2022-10-03,102,Accounts Receivable,3938.58,0
56,Description:,Goods exchanged for money,,,,
56,2022-10-13,301,Owner's Equity,0,1378.5029999999979
57,2022-10-13,101,Cash,0,7200.79
57,2022-10-13,202,Loan Payable,7200.79,0
57,Description:,Loan account adjustments,,,,
57,2022-10-18,301,Owner's Equity,0,9.094947017729282e-13
58,2022-10-18,103,Inventory,2647.83,0
58,2022-10-18,201,Accounts Payable,0,2647.83
58,Description:,Restocking products,,,,
58,2022-10-26,301,Owner's Equity,9.094947017729282e-13,0
59,2022-10-26,103,Inventory,942.48,0
59,2022-10-26,201,Accounts Payable,0,942.48
59,Description:,Goods purchased,,,,
59,2022-10-31,301,Owner's Equity,3.637978807091713e-12,0
60,2022-10-31,101,Cash,0,9906.79
60,2022-10-31,202,Loan Payable,9906.79,0
60,Description:,Loan account adjustments,,,,
60,2022-11-02,301,Owner's Equity,0,3.637978807091713e-12
61,2022-11-02,101,Cash,0,5777.61
61,2022-11-02,202,Loan Payable,5777.61,0
61,Description:,Loan activity,,,,
61,2022-11-08,301,Owner's Equity,0,3.637978807091713e-12
62,2022-11-08,401,Sales Revenue,0,3376.44
62,2022-11-08,501,Cost of Goods Sold,2194.686,0
62,2022-11-08,103,Inventory,0,2194.686
62,2022-11-08,101,Cash,3376.44,0
62,Description:,Sales completed,,,,
62,2022-11-14,301,Owner's Equity,0,1181.7540000000026
63,2022-11-14,103,Inventory,1603.78,0
63,2022-11-14,201,Accounts Payable,0,1603.78
63,Description:,Restocking products,,,,
63,2022-11-22,301,Owner's Equity,0,3.637978807091713e-12
64,2022-11-22,401,Sales Revenue,0,3313.74
64,2022-11-22,501,Cost of Goods Sold,2153.931,0
64,2022-11-22,103,Inventory,0,2153.931
64,2022-11-22,102,Accounts Receivable,3313.74,0
64,Description:,Goods exchanged for money,,,,
64,2022-12-02,301,Owner's Equity,0,1159.8090000000047
65,2022-12-02,103,Inventory,2531.41,0
65,2022-12-02,201,Accounts Payable,0,2531.41
65,Description:,Goods purchased,,,,
66,2022-12-10,201,Accounts Payable,838.14,0
66,2022-12-10,101,Cash,0,838.14
66,Description:,Reduced payable amount,,,,
67,2022-12-16,201,Accounts Payable,842.89,0
67,2022-12-16,101,Cash,0,842.89
67,Description:,Paid off a creditor,,,,
68,2022-12-22,401,Sales Revenue,0,8650.95
68,2022-12-22,501,Cost of Goods Sold,5623.1175,0
68,2022-12-22,103,Inventory,0,5623.1175
68,2022-12-22,101,Cash,8650.95,0
68,Description:,Sales completed,,,,
68,2022-12-25,301,Owner's Equity,0,3027.8324999999986
69,2022-12-25,101,Cash,6685.31,0
69,2022-12-25,202,Loan Payable,0,6685.31
69,Description:,Loan account adjustments,,,,
69,2022-12-29,301,Owner's Equity,0,5.4569682106375694e-12
70,2022-12-29,201,Accounts Payable,1961.93,0
70,2022-12-29,101,Cash,0,1961.93
70,Description:,Paid off a creditor,,,,
70,2023-01-04,301,Owner's Equity,1.8189894035458565e-12,0
71,2023-01-04,502,Rent Expense,1620.0,0
71,2023-01-04,503,Salary Expense,4033.53,0
71,2023-01-04,101,Cash,0,5653.530000000001
71,Description:,Monthly bills paid,,,,
71,2023-01-08,301,Owner's Equity,5653.530000000001,0
72,2023-01-08,101,Cash,0,7501.92
72,2023-01-08,202,Loan Payable,7501.92,0
72,Description:,Loan activity,,,,
73,Description:,Sales completed,,,,
74,2023-01-18,201,Accounts Payable,1689.3,0
74,2023-01-18,101,Cash,0,1689.3
74,Description:,Debt payment,,,,
75,2023-01-19,103,Inventory,24096.8,0
75,2023-01-19,201,Accounts Payable,0,24096.8
75,Description:,Added to inventory,ANOMALY,,,
75,2023-01-20,301,Owner's Equity,3.637978807091713e-12,0
76,2023-01-20,101,Cash,0,7459.67
76,2023-01-20,202,Loan Payable,7459.67,0
76,Description:,Loan activity,,,,
76,2023-01-26,301,Owner's Equity,3.637978807091713e-12,0
77,2023-01-26,103,Inventory,4131.41,0
77,2023-01-26,201,Accounts Payable,0,4131.41
77,Description:,Added to inventory,,,,
78,2023-01-29,401,Sales Revenue,0,3816.24
78,2023-01-29,501,Cost of Goods Sold,2480.556,0
78,2023-01-29,103,Inventory,0,2480.556
78,2023-01-29,102,Accounts Receivable,3816.24,0
78,Description:,Sales completed,,,,
78,2023-01-31,301,Owner's Equity,0,1335.6839999999975
79,2023-01-31,401,Sales Revenue,0,6866.79
79,2023-01-31,501,Cost of Goods Sold,4463.413500000001,0
79,2023-01-31,103,Inventory,0,4463.413500000001
79,2023-01-31,101,Cash,6866.79,0
79,Description:,Sales completed,,,,
79,2023-02-01,301,Owner's Equity,0,2403.3765000000058
80,2023-02-01,201,Accounts Payable,704.51,0
80,2023-02-01,101,Cash,0,704.51
80,Description:,Reduced payable amount,,,,
80,2023-02-04,301,Owner's Equity,7.275957614183426e-12,0
81,2023-02-04,401,Sales Revenue,0,8060.03
81,2023-02-04,501,Cost of Goods Sold,5239.0195,0
81,2023-02-04,103,Inventory,0,5239.0195
81,2023-02-04,102,Accounts Receivable,8060.03,0
81,Description:,Goods exchanged for money,,,,
81,2023-02-05,301,Owner's Equity,0,2821.0104999999967
82,2023-02-05,101,Cash,0,6883.59
82,2023-02-05,202,Loan Payable,6883.59,0
82,Description:,Loan activity,,,,
82,2023-02-14,301,Owner's Equity,7.275957614183426e-12,0
83,2023-02-14,401,Sales Revenue,0,2782.06
83,2023-02-14,501,Cost of Goods Sold,1808.339,0
83,2023-02-14,103,Inventory,0,1808.339
83,2023-02-14,101,Cash,2782.06,0
83,Description:,Items sold,,,,
83,2023-02-21,301,Owner's Equity,0,973.7209999999977
84,2023-02-21,101,Cash,0,5605.34
84,2023-02-21,202,Loan Payable,5605.34,0
84,Description:,Bank interactions,,,,
85,2023-02-26,401,Sales Revenue,0,10016.6
85,2023-02-26,501,Cost of Goods Sold,6510.790000000001,0
85,2023-02-26,103,Inventory,0,6510.790000000001
85,2023-02-26,101,Cash,10016.6,0
85,Description:,Goods exchanged for money,,,,
85,2023-02-28,301,Owner's Equity,0,3505.8099999999977
86,2023-02-28,401,Sales Revenue,0,3164.9
86,2023-02-28,501,Cost of Goods Sold,2057.185,0
86,2023-02-28,103,Inventory,0,2057.185
86,2023-02-28,102,Accounts Receivable,3164.9,0
86,Description:,Goods exchanged for money,,,,
86,2023-03-07,301,Owner's Equity,0,1107.715000000002
87,2023-03-07,101,Cash,0,6067.48
87,2023-03-07,202,Loan Payable,6067.48,0
87,Description:,Bank interactions,,,,
87,2023-03-12,301,Owner's Equity,9.094947017729282e-12,0
88,2023-03-12,201,Accounts Payable,1567.34,0
88,2023-03-12,101,Cash,0,1567.34
88,Description:,Reduced payable amount,,,,
88,2023-03-19,301,Owner's Equity,1.8189894035458565e-12,0
89,2023-03-19,201,Accounts Payable,1211.67,0
89,2023-03-19,101,Cash,0,1211.67
89,Description:,Debt payment,,,,
89,2023-03-29,301,Owner's Equity,0,5.4569682106375694e-12
90,Description:,Items sold,,,,
90,2023-04-08,301,Owner's Equity,1.8189894035458565e-12,0
91,2023-04-08,103,Inventory,3388.68,0
91,2023-04-08,201,Accounts Payable,0,3388.68
91,Description:,Goods purchased,,,,
91,2023-04-11,301,Owner's Equity,1.8189894035458565e-12,0
92,2023-04-11,101,Cash,5610.16,0
92,2023-04-11,202,Loan Payable,0,5610.16
92,Description:,Loan account adjustments,,,,
92,2023-04-16,301,Owner's Equity,1.8189894035458565e-12,0
93,2023-04-16,502,Rent Expense,1247.62,0
93,2023-04-16,503,Salary Expense,2613.13,0
93,2023-04-16,101,Cash,0,3860.75
93,Description:,Regular expenses,,,,
93,2023-04-23,301,Owner's Equity,3860.750000000002,0
94,2023-04-23,201,Accounts Payable,610.2,0
94,2023-04-23,101,Cash,0,610.2
94,Description:,Debt payment,,,,
94,2023-05-01,301,Owner's Equity,1.8189894035458565e-12,0
95,2023-05-01,101,Cash,9147.87,0
95,2023-05-01,202,Loan Payable,0,9147.87
95,Description:,Bank interactions,,,,
95,2023-05-05,301,Owner's Equity,0,5.4569682106375694e-12
96,2023-05-05,401,Sales Revenue,0,9307.93
96,2023-05-05,501,Cost of Goods Sold,6050.154500000001,0
96,2023-05-05,103,Inventory,0,6050.154500000001
96,2023-05-05,101,Cash,9307.93,0
96,Description:,Sales completed,,,,
96,2023-05-06,301,Owner's Equity,0,3257.775499999998
97,2023-05-06,201,Accounts Payable,1216.98,0
97,2023-05-06,101,Cash,0,1216.98
97,Description:,Paid off a creditor,,,,
97,2023-05-08,301,Owner's Equity,0,5.4569682106375694e-12
98,2023-05-08,401,Sales Revenue,0,2365.27
98,2023-05-08,501,Cost of Goods Sold,1537.4255,0
98,2023-05-08,103,Inventory,0,1537.4255
98,2023-05-08,102,Accounts Receivable,2365.27,0
98,Description:,Goods exchanged for money,,,,
98,2023-05-14,301,Owner's Equity,0,827.8444999999983
99,2023-05-14,103,Inventory,3873.88,0
99,2023-05-14,201,Accounts Payable,0,3873.88
99,Description:,Added to inventory,,,,
99,2023-05-15,301,Owner's Equity,0,1.8189894035458565e-12
100,Description:,Items sold,,,,
100,2023-05-22,301,Owner's Equity,0,1.8189894035458565e-12
101,2023-05-22,401,Sales Revenue,0,6440.62
101,2023-05-22,501,Cost of Goods Sold,4186.403,0
101,2023-05-22,103,Inventory,0,4186.403
101,2023-05-22,102,Accounts Receivable,6440.62,0
101,Description:,Sales completed,,,,
101,2023-05-27,301,Owner's Equity,0,2254.2170000000006
102,2023-05-27,101,Cash,0,9871.42
102,2023-05-27,202,Loan Payable,9871.42,0
102,Description:,Loan activity,,,,
102,2023-06-02,301,Owner's Equity,7.275957614183426e-12,0
103,2023-06-02,101,Cash,0,77262.1
103,2023-06-02,202,Loan Payable,77262.1,0
103,Description:,Loan account adjustments,ANOMALY,,,
104,2023-06-04,201,Accounts Payable,1852.32,0
104,2023-06-04,101,Cash,0,1852.32
104,Description:,Debt payment,,,,
104,2023-06-07,301,Owner's Equity,2.9103830456733704e-11,0
105,2023-06-07,201,Accounts Payable,1157.54,0
105,2023-06-07,101,Cash,0,1157.54
105,Description:,Paid off a creditor,,,,
105,2023-06-14,301,Owner's Equity,0,1.4551915228366852e-11
106,Description:,Sales completed,,,,
106,2023-06-20,301,Owner's Equity,0,1.4551915228366852e-11
107,2023-06-20,101,Cash,0,8656.97
107,2023-06-20,202,Loan Payable,8656.97,0
107,Description:,Loan account adjustments,,,,
107,2023-06-29,301,Owner's Equity,1.4551915228366852e-11,0
108,2023-06-29,502,Rent Expense,1942.36,0
108,2023-06-29,503,Salary Expense,4206.86,0
108,2023-06-29,101,Cash,0,6149.219999999999
108,Description:,Operational costs deducted,,,,
108,2023-07-04,301,Owner's Equity,6149.219999999987,0
109,2023-07-04,103,Inventory,835.8,0
109,2023-07-04,201,Accounts Payable,0,835.8
109,Description:,Added to inventory,,,,
110,Description:,Items sold,,,,
111,Description:,Sales completed,,,,
112,2023-07-25,103,Inventory,610.27,0
112,2023-07-25,201,Accounts Payable,0,610.27
112,Description:,Added to inventory,,,,
112,2023-08-02,301,Owner's Equity,1.4551915228366852e-11,0
113,2023-08-02,101,Cash,0,5715.8
113,2023-08-02,202,Loan Payable,5715.8,0
113,Description:,Loan account adjustments,,,,
114,2023-08-03,401,Sales Revenue,0,5532.48
114,2023-08-03,501,Cost of Goods Sold,3596.1119999999996,0
114,2023-08-03,103,Inventory,0,3596.1119999999996
114,2023-08-03,101,Cash,5532.48,0
114,Description:,Items sold,,,,
114,2023-08-09,301,Owner's Equity,0,1936.3679999999877
115,Description:,Items sold,,,,
116,2023-08-17,201,Accounts Payable,1761.9,0
116,2023-08-17,101,Cash,0,1761.9
116,Description:,Paid off a creditor,,,,
117,2023-08-20,101,Cash,0,7332.49
117,2023-08-20,202,Loan Payable,7332.49,0
117,Description:,Loan activity,,,,
117,2023-08-28,301,Owner's Equity,1.4551915228366852e-11,0
118,Description:,Items sold,,,,
118,2023-08-30,301,Owner's Equity,1.4551915228366852e-11,0
119,2023-08-30,103,Inventory,3698.08,0
119,2023-08-30,201,Accounts Payable,0,3698.08
119,Description:,Added to inventory,,,,
119,2023-09-09,301,Owner's Equity,0,2.9103830456733704e-11
120,2023-09-09,201,Accounts Payable,1664.34,0
120,2023-09-09,101,Cash,0,1664.34
120,Description:,Reduced payable amount,,,,
121,Description:,Items sold,,,,
122,2023-09-18,103,Inventory,4885.0,0
122,2023-09-18,201,Accounts Payable,0,4885.0
122,Description:,Restocking products,,,,
123,2023-09-23,101,Cash,0,7832.78
123,2023-09-23,202,Loan Payable,7832.78,0
123,Description:,Bank interactions,,,,
124,2023-09-24,401,Sales Revenue,0,2143.09
124,2023-09-24,501,Cost of Goods Sold,1393.0085000000001,0
124,2023-09-24,103,Inventory,0,1393.0085000000001
124,2023-09-24,102,Accounts Receivable,2143.09,0
124,Description:,Goods exchanged for money,,,,
124,2023-10-03,301,Owner's Equity,0,750.0815000000002
125,Description:,Items sold,ANOMALY,,,
126,2023-10-04,103,Inventory,1484.48,0
126,2023-10-04,201,Accounts Payable,0,1484.48
126,Description:,Added to inventory,,,,
126,2023-10-09,301,Owner's Equity,1.4551915228366852e-11,0
127,2023-10-09,103,Inventory,4041.21,0
127,2023-10-09,201,Accounts Payable,0,4041.21
127,Description:,Restocking products,,,,
128,2023-10-11,101,Cash,0,7128.63
128,2023-10-11,202,Loan Payable,7128.63,0
128,Description:,Bank interactions,,,,
129,2023-10-20,502,Rent Expense,1043.0,0
129,2023-10-20,503,Salary Expense,5076.35,0
129,2023-10-20,101,Cash,0,6119.35
129,Description:,Regular expenses,,,,
129,2023-10-23,301,Owner's Equity,6119.350000000006,0
130,2023-10-23,201,Accounts Payable,1992.58,0
130,2023-10-23,101,Cash,0,1992.58
130,Description:,Reduced payable amount,,,,
130,2023-10-27,301,Owner's Equity,0,2.9103830456733704e-11
131,2023-10-27,401,Sales Revenue,0,5306.35
131,2023-10-27,501,Cost of Goods Sold,3449.1275000000005,0
131,2023-10-27,103,Inventory,0,3449.1275000000005
131,2023-10-27,101,Cash,5306.35,0
131,Description:,Sales completed,,,,
131,2023-10-31,301,Owner's Equity,0,1857.2225000000035
132,2023-10-31,101,Cash,0,8647.08
132,2023-10-31,202,Loan Payable,8647.08,0
132,Description:,Bank interactions,,,,
132,2023-11-05,301,Owner's Equity,2.9103830456733704e-11,0
133,2023-11-05,201,Accounts Payable,1120.57,0
133,2023-11-05,101,Cash,0,1120.57
133,Description:,Debt payment,,,,
134,2023-11-14,103,Inventory,2027.36,0
134,2023-11-14,201,Accounts Payable,0,2027.36
134,Description:,Added to inventory,,,,
134,2023-11-22,301,Owner's Equity,0,1.4551915228366852e-11
135,2023-11-22,401,Sales Revenue,0,6280.04
135,2023-11-22,501,Cost of Goods Sold,4082.0260000000003,0
135,2023-11-22,103,Inventory,0,4082.0260000000003
135,2023-11-22,102,Accounts Receivable,6280.04,0
135,Description:,Sales completed,,,,
135,2023-11-26,301,Owner's Equity,0,2198.0139999999956
136,2023-11-26,201,Accounts Payable,513.62,0
136,2023-11-26,101,Cash,0,513.62
136,Description:,Reduced payable amount,,,,
137,2023-12-02,101,Cash,0,7541.34
137,2023-12-02,202,Loan Payable,7541.34,0
137,Description:,Loan account adjustments,,,,
138,2023-12-04,103,Inventory,2114.14,0
138,2023-12-04,201,Accounts Payable,0,2114.14
138,Description:,Restocking products,,,,
138,2023-12-06,301,Owner's Equity,0,2.9103830456733704e-11
139,2023-12-06,401,Sales Revenue,0,7918.9
139,2023-12-06,501,Cost of Goods Sold,5147.285,0
139,2023-12-06,103,Inventory,0,5147.285
139,2023-12-06,101,Cash,7918.9,0
139,Description:,Items sold,,,,
139,2023-12-09,301,Owner's Equity,0,2771.6149999999907
140,2023-12-09,103,Inventory,2785.6,0
140,2023-12-09,201,Accounts Payable,0,2785.6
140,Description:,Restocking products,,,,
140,2023-12-19,301,Owner's Equity,1.4551915228366852e-11,0
141,2023-12-19,101,Cash,0,7000.55
141,2023-12-19,202,Loan Payable,7000.55,0
141,Description:,Loan account adjustments,,,,
141,2023-12-25,301,Owner's Equity,1.4551915228366852e-11,0
142,2023-12-25,101,Cash,6639.82,0
142,2023-12-25,202,Loan Payable,0,6639.82
142,Description:,Bank interactions,,,,
142,2023-12-27,301,Owner's Equity,0,1.4551915228366852e-11
143,Description:,Items sold,ANOMALY,,,
143,2024-01-01,301,Owner's Equity,1.4551915228366852e-11,0
144,2024-01-01,103,Inventory,2398.81,0
144,2024-01-01,201,Accounts Payable,0,2398.81
144,Description:,Restocking products,,,,
144,2024-01-10,301,Owner's Equity,0,2.9103830456733704e-11
145,2024-01-10,103,Inventory,8185.8,0
145,2024-01-10,201,Accounts Payable,0,8185.8
145,Description:,Restocking products,ANOMALY,,,
145,2024-01-12,301,Owner's Equity,2.9103830456733704e-11,0
146,2024-01-12,201,Accounts Payable,1461.82,0
146,2024-01-12,101,Cash,0,1461.82
146,Description:,Reduced payable amount,,,,
147,2024-01-19,401,Sales Revenue,0,2729.77
147,2024-01-19,501,Cost of Goods Sold,1774.3505,0
147,2024-01-19,103,Inventory,0,1774.3505
147,2024-01-19,102,Accounts Receivable,2729.77,0
147,Description:,Goods exchanged for money,,,,
147,2024-01-20,301,Owner's Equity,0,955.4195000000036
148,2024-01-20,103,Inventory,4388.96,0
148,2024-01-20,201,Accounts Payable,0,4388.96
148,Description:,Goods purchased,,,,
149,2024-01-27,401,Sales Revenue,0,4421.41
149,2024-01-27,501,Cost of Goods Sold,2873.9165,0
149,2024-01-27,103,Inventory,0,2873.9165
149,2024-01-27,102,Accounts Receivable,4421.41,0
149,Description:,Goods exchanged for money,,,,
149,2024-02-01,301,Owner's Equity,0,1547.4934999999969
150,2024-02-01,103,Inventory,2236.15,0
150,2024-02-01,201,Accounts Payable,0,2236.15
150,Description:,Added to inventory,,,,
150,2024-02-04,301,Owner's Equity,0,2.9103830456733704e-11
151,2024-02-04,101,Cash,0,9944.4
151,2024-02-04,202,Loan Payable,9944.4,0
151,Description:,Loan account adjustments,,,,
151,2024-02-08,301,Owner's Equity,2.9103830456733704e-11,0
152,2024-02-08,101,Cash,0,6929.46
152,2024-02-08,202,Loan Payable,6929.46,0
152,Description:,Loan account adjustments,,,,
152,2024-02-15,301,Owner's Equity,0,1.4551915228366852e-11
153,2024-02-15,201,Accounts Payable,1938.39,0
153,2024-02-15,101,Cash,0,1938.39
153,Description:,Reduced payable amount,,,,
153,2024-02-17,301,Owner's Equity,4.3655745685100555e-11,0
154,2024-02-17,103,Inventory,3591.07,0
154,2024-02-17,201,Accounts Payable,0,3591.07
154,Description:,Goods purchased,,,,
155,2024-02-21,101,Cash,5103.68,0
155,2024-02-21,202,Loan Payable,0,5103.68
155,Description:,Bank interactions,,,,
156,2024-02-27,401,Sales Revenue,0,6168.8
156,2024-02-27,501,Cost of Goods Sold,4009.7200000000003,0
156,2024-02-27,103,Inventory,0,4009.7200000000003
156,2024-02-27,101,Cash,6168.8,0
156,Description:,Sales completed,,,,
156,2024-02-29,301,Owner's Equity,0,2159.0800000000017
